"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788844203453403349","Fri May 10 08:11:07 +0000 2024","0","Presiden terpilih Prabowo Subianto minta diberikan waktu untuk membuktikan bisa memberi kesejahteraan bagi seluruh rakyat Indonesia. Dia menyebut kesejahteraan ini termasuk kepada pihak yang tidak memilih Prabowo-Gibran. #brtv #newsbrtv #tvdigital #prabowo https://t.co/4NFhz6t3U6","1788844203453403349","https://pbs.twimg.com/media/GNNATXsbAAAm5wP.jpg","","in","Cikarang, Indonesia","0","1","0","https://twitter.com/official_brtv/status/1788844203453403349","918087189405212672","official_brtv"
"1788813547058995655","Fri May 10 06:09:20 +0000 2024","0","Dukung Penetapan Prabowo Subianto dan Gibran Rakabuming Sebagai Presiden dan Wakil Presiden Terpilih Pemilu 2024 oleh KPU #dukungpemilu2024 #SukseskanPemilu2024 #Pemilu2024kondusif https://t.co/POwibwVdDO","1788813555904717108","https://pbs.twimg.com/media/GNMkcxraIAAyhu5.jpg","romlahasana","in","Jambi, Indonesia","0","1","0","https://twitter.com/romlahasana/status/1788813555904717108","966951232416899073","romlahasana"
"1788813547058995655","Fri May 10 06:09:18 +0000 2024","0","Dukung Penetapan Prabowo Subianto dan Gibran Rakabuming Sebagai Presiden dan Wakil Presiden Terpilih Pemilu 2024 oleh KPU #dukungpemilu2024 #SukseskanPemilu2024 #Pemilu2024kondusif https://t.co/F12Zaf55ei","1788813547058995655","https://pbs.twimg.com/media/GNMkcP9bkAAOCLz.jpg","","in","Jambi, Indonesia","0","1","0","https://twitter.com/romlahasana/status/1788813547058995655","966951232416899073","romlahasana"
"1788802060810703335","Fri May 10 05:23:40 +0000 2024","0","Orang GOLPUT boleh gak sih bikin permohonan? @Gerindra partai presiden terpilih secara resmi @prabowo @gibran_tweet Minta tolong kalau sudah menjabat cek perusahaan @DamriIndonesia tidak memberikan pesangon ayah saya sudah 3tahun.","1788802060810703335","","","in","Kota Surabaya, Jawa Timur","0","1","0","https://twitter.com/eighxtyone/status/1788802060810703335","1156094291032203264","eighxtyone"
"1788799802043679202","Fri May 10 05:14:41 +0000 2024","0","Bekas Capres pada Pilpres 2024 Ganjar Pranowo menanggapi wacana penambahan jumlah kursi Kementerian pada pemerintahan presiden dan wakil presiden terpilih Prabowo Subianto dan Gibran Rakabuming Raka. https://t.co/6hu5zKvMTf","1788799802043679202","","","in","","0","0","0","https://twitter.com/monitorind/status/1788799802043679202","1422944280604151815","monitorind"
"1788796317516603577","Fri May 10 05:00:50 +0000 2024","0","Mohon BPK Presiden dan wapres terpilih BPK Prabowo Subianto dan Gibran harus menghargai perbedaan dan keragaman budaya bangsa Indonesia dan jangan membedakan suku agama ras antara golongan. https://t.co/eVmq9huVc4","1788796317516603577","https://pbs.twimg.com/media/GNMUwwfboAAOnJE.jpg","","in","simanjoloi,desa bandar manik k","0","0","0","https://twitter.com/MaruliSita71668/status/1788796317516603577","1686018676590333952","MaruliSita71668"
"1788784224897794353","Fri May 10 04:12:49 +0000 2024","0","Partai Buruh mendukung Presiden &amp; walik Presiden Terpilih Prabowo Gibran https://t.co/VG488ZcHsX","1788784233802342829","https://pbs.twimg.com/media/GNMI9DubUAE2Gfv.jpg","RelawanprabowoJ","in","","0","1","0","https://twitter.com/RelawanprabowoJ/status/1788784233802342829","1697081437017837568","RelawanprabowoJ"
"1788635325348389259","Thu May 09 18:21:07 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/Co8HChC3q5","1788635325348389259","https://pbs.twimg.com/media/GNKCV84aAAE44Mw.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1788635325348389259","550250097","maureenanico"
"1788635296118321515","Thu May 09 18:21:00 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/Eo5EoaX90a","1788635296118321515","https://pbs.twimg.com/media/GNKCUPLboAA-D9P.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1788635296118321515","550250097","maureenanico"
"1788635269618716944","Thu May 09 18:20:54 +0000 2024","0","Gagasan dan Program Kerja Prabowo-Gibran (Presiden dan Wakil Presiden Terpilih) Untuk Kemajuan Indonesia Kedepan https://t.co/9aenFjsvrs","1788635269618716944","https://pbs.twimg.com/media/GNKCSotaAAYE5RK.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1788635269618716944","550250097","maureenanico"
